Country,Variable,Year,PercentageValue,Air_pollution_MM3,Dwellings_without_basic_facilities_%,Educational_attainment_%_Men,Educational_attainment_%_Total,Educational_attainment_%_Wemen,Employees_working_very_long_hours_%_Men,Employees_working_very_long_hours_%_Total,Employees_working_very_long_hours_%_Wemen,Employment_rate_%_Men,Employment_rate_%_Total,Employment_rate_%_Wemen,safety_at_night_%_M,safety_at_night_%_T,safety_at_night_%_F,Homicide_rate_M,Homicide_rate_T,Homicide_rate_F,Household_net_income,Household_net_wealth,Housing _xpenditure_%,Labour_market_insecurity_High%,Labour_market_insecurity_Low%,Labour_market_insecurity_M%,Labour_market_insecurity_T%,Labour_market_insecurity_F%,Life_expectancy_M,Life_expectancy_T,Life_expectancy_F,Life_satisfaction_high,Life_satisfaction_low,Life_satisfaction_M,Life_satisfaction_T,Life_satisfaction_F,Long_unemployment_rate_%_M,Long_unemployment_rate_%_T,Long_unemployment_rate_%_F,Personal earnings,Quality of support network_High_%,Quality of support network_Low_%,Quality of support network_M_%,Quality of support network_T_%,Quality of support network_F_%,Rooms_per_person,Self_reported_health_High_%,Self_reported_health_Low_%,Self_reported_health_M_%,Self_reported_health_T_%,Self_reported_health_F_%,Stakeholder_engagement_for_developing _egulations,Student skills_high,Student skills_low,Student skills_M,Student skills_T,Student skills_F,Time_devoted_to _eisure_and_personal_care_M,Time_devoted_to _eisure_and_personal_care_T,Time_devoted_to _eisure_and_personal_care_F,Voter turnout,Water_quality_M,Water_quality_T,Water_quality_F,Years_in_education_M,Years_in_education_T,Years_in_education_F
Austria,TOTPUBSEW,2012,94.5,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,"",7.1,maybe,7.1,1.99,1.84,1.66,50349,92,"",92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,satisfying,91,16.7,17,17.3
Austria,TOTPUBSEW,2014,94.9676,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,"",7.1,maybe,7.1,1.99,1.84,1.66,50349,92,"",92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,satisfying,91,16.7,17,17.3
Austria,TOTPUBSEW,2016,95.2,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,"",7.1,maybe,7.1,1.99,1.84,1.66,50349,92,"",92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,satisfying,91,16.7,17,17.3
Austria,TOTPUBSEW,2018,100,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,"",7.1,maybe,7.1,1.99,1.84,1.66,50349,92,"",92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,satisfying,91,16.7,17,17.3
Austria,TOTPUBSEW,2019,100,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,"",7.1,maybe,7.1,1.99,1.84,1.66,50349,92,"",92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,satisfying,91,16.7,17,17.3
Belgium,TOTPUBSEW,2010,95.9,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2011,97.1,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2012,92.848,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2013,93.9048,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2014,94.5763,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2015,95.2328,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2016,96.9847,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
Belgium,TOTPUBSEW,2017,97.2936,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,"",6.9,maybe,6.9,3.71,3.54,3.35,49675,95,"",92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,satisfying,81,18.6,19.3,20
